time	date	device
14:50:00	2014-01-12	1
14:50:00	2014-01-12	1
14:50:00	2014-01-12	1
14:50:00	2014-01-12	1
14:50:00	2014-01-12	1
14:50:00	2014-01-12	1
14:50:00	2014-01-12	1
14:51:00	2014-01-12	1
14:51:00	2014-01-12	1
14:51:00	2014-01-12	1
14:51:00	2014-01-12	1
14:51:00	2014-01-12	1
14:51:00	2014-01-12	1
14:51:00	2014-01-12	1
14:51:00	2014-01-12	1
14:51:00	2014-01-12	1
14:51:00	2014-01-12	1
14:51:00	2014-01-12	1
14:51:00	2014-01-12	1
14:51:00	2014-01-12	1
14:51:00	2014-01-12	1
14:51:00	2014-01-12	1
14:51:00	2014-01-12	1
14:52:00	2014-01-12	1
14:52:00	2014-01-12	1
14:52:00	2014-01-12	1
14:52:00	2014-01-12	1
14:52:00	2014-01-12	1
14:52:00	2014-01-12	1
14:52:00	2014-01-12	1
14:52:00	2014-01-12	1
14:52:00	2014-01-12	1
14:52:00	2014-01-12	1
14:52:00	2014-01-12	1
14:52:00	2014-01-12	1
14:52:00	2014-01-12	1
14:52:00	2014-01-12	1
14:52:00	2014-01-12	1
14:52:00	2014-01-12	1
14:53:00	2014-01-12	1
14:53:00	2014-01-12	1
14:53:00	2014-01-12	1
14:53:00	2014-01-12	1
14:53:00	2014-01-12	1
14:53:00	2014-01-12	1
14:54:00	2014-01-12	1
14:54:00	2014-01-12	1
14:54:00	2014-01-12	1
14:54:00	2014-01-12	1
14:54:00	2014-01-12	1
14:54:00	2014-01-12	1
14:54:00	2014-01-12	1
14:54:00	2014-01-12	1
14:54:00	2014-01-12	1
14:54:00	2014-01-12	1
14:54:00	2014-01-12	1
14:54:00	2014-01-12	1
14:54:00	2014-01-12	1
14:54:00	2014-01-12	1
14:54:00	2014-01-12	1
14:54:00	2014-01-12	1
14:55:00	2014-01-12	1
14:55:00	2014-01-12	1
14:56:00	2014-01-12	1
14:56:00	2014-01-12	1
14:56:00	2014-01-12	1
14:56:00	2014-01-12	1
14:56:00	2014-01-12	1
14:56:00	2014-01-12	1
14:56:00	2014-01-12	1
14:56:00	2014-01-12	1
14:56:00	2014-01-12	1
14:56:00	2014-01-12	1
14:56:00	2014-01-12	1
14:56:00	2014-01-12	1
14:56:00	2014-01-12	1
